word,category,contrast
i'm,pronoun_contraction,FALSE
he's,pronoun_contraction,FALSE
she's,pronoun_contraction,FALSE
it's,pronoun_contraction,FALSE
you're,pronoun_contraction,FALSE
we're,pronoun_contraction,FALSE
they're,pronoun_contraction,FALSE
i'd,pronoun_contraction,FALSE
you'd,pronoun_contraction,FALSE
we'd,pronoun_contraction,FALSE
they'd,pronoun_contraction,FALSE
he'd,pronoun_contraction,FALSE
she'd,pronoun_contraction,FALSE
it'd,pronoun_contraction,FALSE
i've,pronoun_contraction,FALSE
you've,pronoun_contraction,FALSE
they've,pronoun_contraction,FALSE
he's,pronoun_contraction,FALSE
she's,pronoun_contraction,FALSE
it's,pronoun_contraction,FALSE
i'd,pronoun_contraction,FALSE
you'd,pronoun_contraction,FALSE
we'd,pronoun_contraction,FALSE
the'y,pronoun_contraction,FALSE
he'd,pronoun_contraction,FALSE
she'd,pronoun_contraction,FALSE
it'd,pronoun_contraction,FALSE
a,article_indefinite,FALSE
an,article_indefinite,FALSE
the,article_definite,FALSE
aboard,preposition,FALSE
about,preposition,FALSE
above,preposition,FALSE
across,preposition,FALSE
after,preposition,FALSE
against,preposition,TRUE
along,preposition,FALSE
amid,preposition,FALSE
among,preposition,FALSE
anti,preposition,TRUE
around,preposition,FALSE
as,preposition,FALSE
at,preposition,FALSE
before,preposition,FALSE
behind,preposition,FALSE
below,preposition,FALSE
beneath,preposition,FALSE
beside,preposition,FALSE
besides,preposition,FALSE
between,preposition,FALSE
beyond,preposition,FALSE
but,preposition,TRUE
by,preposition,FALSE
concerning,preposition,FALSE
considering,preposition,FALSE
despite,preposition,TRUE
down,preposition,FALSE
during,preposition,FALSE
except,preposition,TRUE
excepting,preposition,TRUE
excluding,preposition,TRUE
following,preposition,FALSE
for,preposition,FALSE
from,preposition,FALSE
in,preposition,FALSE
inside,preposition,FALSE
into,preposition,FALSE
like,preposition,FALSE
minus,preposition,FALSE
near,preposition,FALSE
of,preposition,FALSE
off,preposition,FALSE
on,preposition,FALSE
onto,preposition,FALSE
opposite,preposition,TRUE
outside,preposition,TRUE
over,preposition,FALSE
past,preposition,FALSE
per,preposition,FALSE
plus,preposition,FALSE
regarding,preposition,FALSE
round,preposition,FALSE
save,preposition,FALSE
since,preposition,FALSE
than,preposition,TRUE
through,preposition,FALSE
to,preposition,FALSE
toward,preposition,FALSE
towards,preposition,FALSE
under,preposition,FALSE
underneath,preposition,FALSE
unlike,preposition,FALSE
until,preposition,FALSE
up,preposition,FALSE
upon,preposition,FALSE
versus,preposition,TRUE
via,preposition,FALSE
with,preposition,FALSE
within,preposition,FALSE
without,preposition,TRUE
am,verb_be,FALSE
are,verb_be,FALSE
is,verb_be,FALSE
was,verb_be,FALSE
were,verb_be,FALSE
been,verb_be,FALSE
being,verb_be,FALSE
be,verb_be,FALSE
do,verb_do,FALSE
does,verb_do,FALSE
did,verb_do,FALSE
done,verb_do,FALSE
doing,verb_do,FALSE
have,verb_have,FALSE
has,verb_have,FALSE
had,verb_have,FALSE
having,verb_have,FALSE
and,conjunction,FALSE
but,conjunction,TRUE
or,conjunction,FALSE
so,conjunction,FALSE
yet,conjunction,FALSE
nor,conjunction,TRUE
for,conjunction,FALSE
after,conjunction,FALSE
although,conjunction,TRUE
as,conjunction,FALSE
because,conjunction,FALSE
before,conjunction,FALSE
if,conjunction,FALSE
once,conjunction,FALSE
since,conjunction,FALSE
that,conjunction,FALSE
though,conjunction,FALSE
till,conjunction,FALSE
unless,conjunction,TRUE
while,conjunction,FALSE
where,conjunction,FALSE
whether,conjunction,FALSE
even,conjunction,TRUE
as,conjunction,FALSE
whereas,conjunction,FALSE
inasmuch,conjunction,FALSE
whenever,conjunction,FALSE
until,conjunction,FALSE
lest,conjunction,TRUE
regardless,conjunction,FALSE
despite,conjunction,FALSE
besides,conjunction,FALSE
conversely,conjunction,FALSE
wherever,conjunction,FALSE
whiles,conjunction,FALSE
notwithstanding,conjunction,TRUE
whereas,conjunction,FALSE
whether,conjunction,FALSE
whilst,conjunction,FALSE
i,pronoun,FALSE
you,pronoun,FALSE
he,pronoun,FALSE
she,pronoun,FALSE
it,pronoun,FALSE
we,pronoun,FALSE
they,pronoun,FALSE
my,article_possesive,FALSE
your,article_possesive,FALSE
his,article_possesive,FALSE
her,article_possesive,FALSE
our,article_possesive,FALSE
their,article_possesive,FALSE
mine,pronoun_possesive,FALSE
yours,pronoun_possesive,FALSE
his,pronoun_possesive,FALSE
hers,pronoun_possesive,FALSE
ours,pronoun_possesive,FALSE
theirs,pronoun_possesive,FALSE
